"DO NOT MODIFY OR REMOVE - Component ID","English (US)","Croatian","Czech","Dutch","French","German","Hungarian","Italian","Polish","Portuguese","Romanian","Slovak","Spanish"
"njFz_53-zG","What you get with Pro","Što dobivaš uz Pro","Co získáš s Pro","Wat je krijgt met Pro","Ce que tu obtiens avec Pro","Das bekommst du mit Pro","Mit kapsz a Próval","Cosa ottieni con Pro","Co zyskujesz z Pro","O que ganhas com o Pro","Ce primești cu Pro","Čo získaš s Pro","Lo que obtienes con Pro"
"T2VMVeS3wv","📡 Works with zero bars
Repeater & activation data, even with no signal.","📡 Radi bez signala
Podaci o repetitorima i aktivacijama i bez signala.","📡 Funguje bez signálu
Data převaděčů a aktivací i bez signálu.","📡 Werkt zonder bereik
Repeater- en activatiedata, ook zonder bereik.","📡 Fonctionne sans réseau
Relais et activations, même sans réseau.","📡 Funktioniert ohne Empfang
Relais- und Aktivierungsdaten, auch ohne Empfang.","📡 Térerő nélkül is megy
Átjátszó- és aktivációs adatok térerő nélkül is.","📡 Funziona senza segnale
Dati di ponti e attivazioni anche senza segnale.","📡 Działa bez zasięgu
Dane przemienników i aktywacji nawet bez zasięgu.","📡 Funciona sem rede
Dados de repetidores e ativações, mesmo sem rede.","📡 Merge fără semnal
Date despre relee și activări, chiar fără semnal.","📡 Funguje bez signálu
Dáta prevádzačov a aktivácií aj bez signálu.","📡 Funciona sin cobertura
Datos de repetidores y activaciones, sin cobertura."
"a70c33de6c","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓"
"6Peq-0nRKg","🛰️ Repeaters you can reach
Which repeaters you can hit, with signal levels.","🛰️ Repetitori u tvom dosegu
Koje repetitore hvataš, s razinama signala.","🛰️ Převaděče ve tvém dosahu
Které převaděče chytíš, s úrovněmi signálu.","🛰️ Repeaters die je haalt
Welke repeaters je haalt, met signaalsterkte.","🛰️ Les relais que tu touches
Quels relais tu touches, avec les niveaux de signal.","🛰️ Erreichbare Relais
Welche Relais du erreichst – mit Signalstärke.","🛰️ Elérhető átjátszók
Mely átjátszókat éred el, jelszintekkel.","🛰️ I ponti che prendi davvero
Quali ponti prendi, con i livelli di segnale.","🛰️ Przemienniki w zasięgu
Które przemienniki złapiesz, z poziomami sygnału.","🛰️ Repetidores ao teu alcance
Que repetidores alcanças, com níveis de sinal.","🛰️ Releele pe care le prinzi
Ce relee prinzi, cu niveluri de semnal.","🛰️ Prevádzače v tvojom dosahu
Ktoré prevádzače chytíš, s úrovňami signálu.","🛰️ Repetidores a tu alcance
Qué repetidores alcanzas, con niveles de señal."
"e685f9890d","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓"
"1Cq_cRos6U","📶 Real coverage, any repeater
See a repeater's RF footprint before you drive out.","📶 Stvarna pokrivenost svakog repetitora
Vidi RF pokrivenost repetitora prije nego kreneš.","📶 Skutečné pokrytí každého převaděče
Podívej se na RF pokrytí převaděče, než vyrazíš.","📶 Echte dekking, elke repeater
Zie de RF-dekking van een repeater vóór je vertrekt.","📶 Couverture réelle, chaque relais
Vois la couverture RF d'un relais avant de partir.","📶 Echte Abdeckung, jedes Relais
Sieh die RF-Abdeckung eines Relais, bevor du losfährst.","📶 Valós lefedettség, minden átjátszó
Nézd meg egy átjátszó RF-lefedettségét, mielőtt elindulsz.","📶 Copertura reale di ogni ponte
Vedi la copertura RF di un ponte prima di partire.","📶 Realny zasięg każdego przemiennika
Zobacz zasięg RF przemiennika, zanim wyruszysz.","📶 Cobertura real de cada repetidor
Vê a cobertura RF de um repetidor antes de saíres.","📶 Acoperire reală, orice releu
Vezi acoperirea RF a unui releu înainte să pleci.","📶 Skutočné pokrytie každého prevádzača
Pozri si RF pokrytie prevádzača, než vyrazíš.","📶 Cobertura real de cada repetidor
Mira la cobertura RF de un repetidor antes de salir."
"f5caf10ca1","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓"
"2f31dc07cd","💙 Helps keep the app free
You keep HamQRG free for every operator.","💙 Pomaže da app ostane besplatna
Održavaš HamQRG besplatnim za svakog operatora.","💙 Pomáhá udržet aplikaci zdarma
Udržíš HamQRG zdarma pro každého operátora.","💙 Houdt de app gratis
Jij houdt HamQRG gratis voor elke operator.","💙 Aide à garder l'app gratuite
Tu gardes HamQRG gratuit pour chaque opérateur.","💙 Hält die App kostenlos
Du hältst HamQRG für jeden Funkamateur kostenlos.","💙 Segít ingyenesen tartani az appot
Te tartod ingyenesen a HamQRG-t minden operátornak.","💙 Aiuta a tenere l'app gratis
Tieni HamQRG gratis per ogni radioamatore.","💙 Pomaga utrzymać aplikację za darmo
Utrzymujesz HamQRG za darmo dla każdego operatora.","💙 Ajuda a manter a app grátis
Manténs o HamQRG grátis para cada operador.","💙 Ajută la menținerea aplicației gratuite
Menții HamQRG gratuit pentru fiecare operator.","💙 Pomáha udržať aplikáciu zadarmo
Udržíš HamQRG zadarmo pre každého operátora.","💙 Ayuda a mantener la app gratis
Mantienes HamQRG gratis para cada operador."
"feb45d85de","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓"
